sample_id,word_id,label,video_path,split,source_part,error
NIA_SL_WORD0432_REAL04_U,WORD0432,모범,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0432_REAL04_U.mp4,validation,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD0478_REAL04_D,WORD0478,면적,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0478_REAL04_D.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD0514_REAL04_F,WORD0514,사라지다,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0514_REAL04_F.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD0588_REAL04_R,WORD0588,호명,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0588_REAL04_R.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1109_REAL04_F,WORD1109,한명,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD1109_REAL04_F.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1128_REAL04_L,WORD1128,당황,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD1128_REAL04_L.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1130_REAL04_D,WORD1130,원하다,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD1130_REAL04_D.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1140_REAL04_R,WORD1140,즐겁다,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD1140_REAL04_R.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1974_REAL04_D,WORD1974,영주시지부,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD1974_REAL04_D.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2041_REAL04_R,WORD2041,책임자,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD2041_REAL04_R.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2063_REAL04_L,WORD2063,독특,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD2063_REAL04_L.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2065_REAL04_U,WORD2065,노화,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD2065_REAL04_U.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2092_REAL04_F,WORD2092,실토,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD2092_REAL04_F.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2810_REAL04_U,WORD2810,백칠십팔,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD2810_REAL04_U.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2858_REAL04_F,WORD2858,칠백,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD2858_REAL04_F.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2938_REAL04_L,WORD2938,이천만,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD2938_REAL04_L.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2967_REAL04_R,WORD2967,칠억오천만,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD2967_REAL04_R.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1640_REAL05_F,WORD1640,경기농아인협회,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]09_real_word_video\05\NIA_SL_WORD1640_REAL05_F.mp4,train,FILE09,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1659_REAL05_L,WORD1659,군포시지부,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]09_real_word_video\05\NIA_SL_WORD1659_REAL05_L.mp4,train,FILE09,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1669_REAL05_R,WORD1669,동두천시수어통역센터,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]09_real_word_video\05\NIA_SL_WORD1669_REAL05_R.mp4,train,FILE09,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1699_REAL05_D,WORD1699,용인시수어통역센터,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]09_real_word_video\05\NIA_SL_WORD1699_REAL05_D.mp4,validation,FILE09,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1739_REAL05_U,WORD1739,속초시수어통역센터,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]09_real_word_video\05\NIA_SL_WORD1739_REAL05_U.mp4,train,FILE09,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2635_REAL05_F,WORD2635,사,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]09_real_word_video\05\NIA_SL_WORD2635_REAL05_F.mp4,train,FILE09,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2916_REAL05_U,WORD2916,구십만,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]09_real_word_video\05\NIA_SL_WORD2916_REAL05_U.mp4,train,FILE09,영상 처리 실패 (프레임 없음)
